iteration	num_pre_chr3	num_pos_chr3	prop_pre_chr3	var_prop_pre_chr3	num_pre_chr10	num_pos_chr10	prop_pre_chr10	var_prop_pre_chr10
1	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
2	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
3	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
4	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
5	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
6	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
7	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
8	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
9	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
10	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
11	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
12	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
13	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
14	62	24	0.720930232558139	0.002339416655137	26	44	0.371428571428571	0.00333527696793
15	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
16	62	24	0.720930232558139	0.002339416655137	26	44	0.371428571428571	0.00333527696793
17	62	24	0.720930232558139	0.002339416655137	26	44	0.371428571428571	0.00333527696793
18	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
19	62	24	0.720930232558139	0.002339416655137	26	44	0.371428571428571	0.00333527696793
20	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
21	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
22	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
23	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
24	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
25	62	24	0.720930232558139	0.002339416655137	26	44	0.371428571428571	0.00333527696793
26	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
27	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
28	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
29	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
30	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
31	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
32	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
33	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
34	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
35	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
36	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
37	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
38	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
39	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
40	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
41	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
42	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
43	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
44	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
45	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
46	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
47	62	24	0.720930232558139	0.002339416655137	26	44	0.371428571428571	0.00333527696793
48	62	24	0.720930232558139	0.002339416655137	26	44	0.371428571428571	0.00333527696793
49	62	24	0.720930232558139	0.002339416655137	24	45	0.347826086956522	0.00328758116216
50	62	24	0.720930232558139	0.002339416655137	26	44	0.371428571428571	0.00333527696793
